Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,TELANGANA,MEDAK,"Calendar Year (Jan - Dec), 2021",Srinivasa Farms Pvt. Ltd.,Poultry,Commercial production started,34.99,5.24,5.24
India,ANDHRA PRADESH,GUNTUR,"Calendar Year (Jan - Dec), 2021",Eswara Foods,Marine & Fishery,Under Implementation,30.78,9.85,
India,KERALA,PATHANAMTHITTA,"Calendar Year (Jan - Dec), 2021",Inkal Ventures Private Limited,Dairy,Commercial production started,15.85,2.36,2.36
India,JAMMU AND KASHMIR,SAMBA,"Calendar Year (Jan - Dec), 2021",Safe & Fresh,F&V,Reported completion of project,16.88,10,7.5
India,WEST BENGAL,PURBA BARDHAMAN,"Calendar Year (Jan - Dec), 2021",Shalimar Hatcheries Limited,Meat,25% progress,28.78,8.81,2.2
India,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,"Calendar Year (Jan - Dec), 2021",Rajshree Integrated Cold Chain Projects,F&V,Commercial production started,22.57,10,10
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Yashganga Cold Storage and Food Processing,F&V,65% progress,21,8.68,5.64
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",Adani Agri Fresh Ltd.,F&V,Commercial production started,26.31,7.68,7.68
India,MAHARASHTRA,MUMBAI,"Calendar Year (Jan - Dec), 2021",Kool Solutions India Pvt. Ltd.,Mixed,Commercial production started,64.9,9.25,9.25
India,HARYANA,PALWAL,"Calendar Year (Jan - Dec), 2021",Hind Terminals Pvt. Ltd,"Mixed (Dairy, Meat, F&V)",Commercial production started,38.69,8.8,8.8
India,UTTAR PRADESH,UNNAO,"Calendar Year (Jan - Dec), 2021",AOV Exports Pvt Ltd,Meat,Commercial production started,33.59,7.45,7.45
India,TAMIL NADU,COIMBATORE,"Calendar Year (Jan - Dec), 2021",ABT Industries Limited,Dairy,Reported completion of project,38.93,10,6.3
India,RAJASTHAN,KOTA,"Calendar Year (Jan - Dec), 2021",Shree Shubham Logistics Ltd,F&V,Commercial production started,28.41,8.48,8.48
India,PUNJAB,PATIALA,"Calendar Year (Jan - Dec), 2021",Hargur Milk Products Private Limited,Dairy,Reported completion of project,10.94,3.3,2.15
India,ANDHRA PRADESH,VISAKHAPATANAM,"Calendar Year (Jan - Dec), 2021",Sai Marine Exports Pvt Ltd,Marine,65% progress,63.25,10,6.5
